L	F	E	coordinate
5	6.25	2	00010
7	8.1667	3	0001101
9	3.375	12	000011010
11	12.1	5	00011101101
13	14.083	6	0000011001010
15	7.5	15	000001100110101
17	4.5156	32	00111110011010110
21	8.4808	26	001111111001101010110
27	9.8514	37	000111100010001000100101101
29	6.7823	62	00011000111111101010110110010
39	7.6818	99	000000001101101001001110000111001010101
41	7.7824	108	00011110001010101100110011111111011010010
43	8.4816	109	0001001101001001111111010101100011110011101
45	8.5805	118	000000001101101001001110110001111000110101010
47	8.1815	135	00000000011000111100010011101101001001101010101
49	8.8272	136	0001110001111111000100011001000100101010010010010
51	8.5	153	001110000111001010111101110111010000001101101001001
53	8.2618	170	00110000000000011110000110011001011010010101010100110
55	8.8450	171	0000000001101101100011011010000111001001110001101010101
57	8.6410	188	000111001110011111100010101001111111011010100110110010010
59	8.4902	205	00000001111111001111011001111001011001110100110101011010101
67	9.3133	241	0000000000011110110001100011110000101101001001101100010110101010101
71	9.1654	275	00111101100001111011000010000000110011001010100010110001011010011101001
77	8.2807	358	00000100100000001111010010011010011001000110011110011100001011010101110001010
83	9.1366	377	00011000111111000111001110100000001100000010101100101010000100110110110101001001101
91	8.6803	477	0010010000100000010110010110101011010001101100110001101111000000011110011110101000101110001
95	9.4207	479	00011001110011000111110000000010111110101110000010100100000101000010101011010110110011011001101
97	8.7770	536	0000010100001000001110010111001100101110010000111011010001101111001100100001101101011101000001010
99	8.4931	577	000001100000111110010011011000000000011101001100001011001111011010101010011100111001010010100110101
101	8.8244	578	00000011000001111100100110110000000000111010011000010110011110110101010100111001110010100101001101010
103	9.5577	555	0011110000011000000111111110110011001000101001100000101001100000100011001100010101011010100110101101001
105	8.8911	620	000000000010010100101101111010010001011011100110010011000110011011100001000111101000111100000111010101010
107	8.4557	677	00110000000111010000000011101010011000010111000111100110010110110111101001100000010010101011110110101011001
109	8.9736	662	0001110000101010110000111010000101010001110011001100000101001100110010010000000101111011010011111111010010010
111	8.9672	687	001010111001110001110111001010100011111010000110100011100100100001101000010100100000001101110110110110010000001
113	8.4900	752	00001111100000111110110010000110110110110000000000001001100111010101010100111000111001011100111010110101101011010
115	8.8758	745	0000011111010111000001000011111000101001101000100100110011001100111000100001100000100101001011101011011111010110101
117	8.7080	786	000111111101000000011101101011001010100011100110011110011110100110100110011011011111110011111000100101010000101010010
119	8.4796	835	00010010000001000010010011011000111101011010100010000101000110111110100010000001111101001001110011100010111010100011101
121	8.6736	844	0000000001011111111101000111100101110010011101001001001100011001001100011100001001110010000110100100001010101000010101010
123	8.4709	893	001101100101110100010110000011100010110001000000110101011010100000011111110010101110110000100100101001111011110111100111001
125	9.2346	846	00011100001111010101111001110101000000001100011101111010001100110011011110100010010011010101000000100110100000001011010010010
127	9.0919	887	0000011100111011100111111000110000000011110111000111100101111101110101111001011011011101001010101100100101011001000100110110101
129	9.0440	920	000111001110000011100111001100011010111100000001000000000010100100011111010101010001010100101111100100110010011011010110110010010
131	9.3981	913	00000011100000011100000000000111001110111001110001111001110001001000111011011001011011011001000100110110101010101101101010010010101
133	8.7569	1010	0000110010000000000101100000101110011001011111010000111000111011010000111011011011010000101000011001101111010110000101010101110011010
135	8.8729	1027	001010100100110010011001010100101001010000010100011010001110001011001100001001001000011011111010111110000011111110011000110011100000001
137	8.9206	1052	00111100000111111000000011001100111000101110000110000110111111111111001010101010111001011001011011110110110011001101010110101001010010110
139	8.5265	1133	0000000000000010010101101110110001001001110010110010010111001010011110010110000011011110001100001101100011101100010001111110001010101010101
141	8.8282	1126	000000001111111000000010010010110111101101111011110011101001100011100110011011011001111011001011101000111010001111000111010101101010110101010
143	8.5848	1191	00010000011000001010001100000101001001000110110101101110100010011111001000110101100010000100011111000110111000111110101100100000101001101011101
145	8.7024	1208	0011011001011011000010111110000011011010000000101100111001000101010101110010000000000100011011001111010101111000110101101011110100111000011000110
147	8.5411	1265	000001111000000011111101111101111011111011100110010100111100101100110011011100110011000011010011111001100100010100010111010111010100101010010110101
149	9.1137	1218	00000000111111111111111000110110111100011011000110011110000011011001101000010111100110001101011010011001001110010010111000110110101010101010110101010
151	8.9416	1275	0001100011110001100011111111111000011100101011000010100001001100111110100011001000010100110011101000001011000000110110100101010101001001101101001001101
153	8.7347	1340	000010000101111011110100001000011000101110001110001010111100011000100111010001000010011101100100101111110110110110111101100101110100001011101000010111010
155	8.3594	1437	00010110010111010001001101001111100010001000101111000100001011000110101010010111100000000110110000101110110100001000100010010100111100111011110111100111101
157	9.0223	1366	0000011111001111111110000011111001111100011100000000001100110110000110011101010000001001100101100011001101010101001001001010011010110101101010101100101001010
159	8.7842	1439	000001011011000000100100110010010000000001111111011011110110000101100011100100100011100100100111101001110100011101010110101010111000110011100010101100011110101
161	8.5266	1520	00110010100010101010010101100101000110010110110100100101011100101001010100011001100110010000000111110010000001110000111000011001000001100000011111111101111100110	
163	8.6884	1529	0000000001111100011001111111100011000001110000110011100001010110000000101000001100110010100000101010011111101001001100101101101011001001010101100110110101101010101
165	9.2351	1474	000101010010011010100101111101001011101100100111001001101101101000101010110010001011110111001111111101111000111001110010011100111011110000101000011111100111000000010
167	8.9216	1563	00000010000111111100111011110000000110011000110000010000111000000111000011000110110111000110110010110110101001001011101011001001100110101011010001001101010110100010101
169	9.3215	1532	0001111100011100000111001110111000100011100010100111000000010111110100010010100000010001010111110001000010100001010100100111110110110111011011101100100101001001001010010
171	8.7600  1669    000111111100000001100011000010011111110011110000000001100001001001000000110101101100110011000111110010101110001110100110101010110100110101011000101100100110101011010101101
173	9.3645	1598	00001111111000000011000110000100111111100111100000000011000010010010000001101011011001100110001111100101011100011101001101010101101001101010110001011001001101010110101011010
175	9.0768	1687	0010101010111001101010100001110010111001010011001100111010110100001101011001111001001010000011100101100111110010111100000100110011001111100100001101101000000001100100000000001
177	9.5052	1648	000101100011110111101001110100111000000110100110011001011111111101000100001101110100010100000100001000110100010000101010100001100110011110010101101100001001111010001011011000010
179	9.0974	1761	00001011000111101111010011101001110000001101001100110010111111111010001000011011101000101000001000010001101000100001010101000011001100111100101011011000010011110100010110110000101
181	8.9316	1834	0000000000010010000111100111001011100110010011011000111101101000010010110001011111101000010001011110101000010011110001011110001011011000110001100110111100100110100101110001010101010
183	9.0073	1859	000011110011111110011100010010000110010001110111000111110100011100010101111100100000011110110001011010100011010111111011011011110101101101110110111001101000111011011001010100110100101
185	8.8574  1932    00001000110011110110100101111011110001100111101101000000000001010010011011110000001100010001100100010011010100101110011100000101010101000011101001100100101110100001111000101100110111010
187	8.8619	1973	0011110001100011000111100000000111100011010000111001100000001100010010000100000001101111111111010101010001101010111010001110110010101001100100101111001001011010101001011011001001101101001
189	9.0847	1966	000111100011000110001111000000001111000110100001110011000000011000100100001000000011011111111110101010100011010101110100011101100101010011001001011110010010110101010010110110010011011010010
191	9.5851  1903    00110001011001110110000111001111000111010011000100101001000010100011101111000000111111101010100010000000010101001010110100010010000010111000001110110011110110110100110110100111011001111011001
193	8.6868  2144    0011100001111011100000100000011000101111111111110000101011110000100110001010000011011000101100110011001111011000110101111101100111010010111111010010101010101111011001010111010110111010010110110
195	9.0321  2105    000110010000110010001101001001101001001000011001000111110001011111011011101001010110101011111111011101010100000001111110000100011101011110110101101110011010001110000110001111001000110010111001101
197	8.8122  2202    00101101001001011011001001111110010010101001011001000000100110000001001110101010001101111101111110111010100010100011011111111011000101011001110101000110000111111100011010100111001110000111000011110
